Title,Rating,Service,Watched,Released
Dear Zachary: A Letter to a Son About His Father,4.0,,2011,2008
Death at a Funeral,3.0,,2008,2007
Death in Paradise,2.0,Brit,2025,
Death on the Nile,3.0,,2022,2022
Deathtrap,2.0,,2005,1982
Deception,3.0,HBO,2022,2008
Deep Blue,3.0,,2007,2003
Defending Jacob,4.0,Apple,2020,2020
Defiance,4.0,,2009,2008
Definitely Maybe,3.0,,2011,2008
Dejavu,3.0,,2025,2006
Delicatessen,5.0,,2004,1992
Delicious,3.0,,2023,
Deliverance,4.0,,2004,1972
Demolition,3.6,,2025,2015
Denial,3.0,,2017,2016
Deparrtturres,1.0,,2016,2009
Dept. Q S1,4.0,Netflix,2025,2025
Derailed,3.0,,2009,2005
Destroyer ,4.0,,2021,2018
Detachment,4.0,,2017,2011
Detective Forst series,1.0,Netflix,2024,
Detectorists S1,2.0,Prime,2025,2011
Detroit,2.0,,2018,2017
Devs,4.0,hulu,2022,2020
Diamond Men,1.0,,2008,2000
Did You Wonder Who Fired the Gun ?,1.0,,2018,2018
Dirty Pretty Things,4.0,,2012,2002
Dirty Wars,4.0,,2014,2013
Disappearance on Clifton Hill,2.0,,2023,1900
Disclaimer,3.0,Apple TV,2024,2024
District 9,4.0,,2010,2009
Divergent,3.0,,2016,2014
Doctor Who,2.0,,2015,
Doctor Zhivago,4.0,,2004,2002
Dog,3.0,Prime,2022,2022
Dog Day Afternoon,4.0,,2004,1975
Dogma,4.0,,2004,1999
Don't Breathe,3.0,,2018,2016
Don't Come Knocking,2.0,,2006,2005
Don't Tell,2.0,,2006,2005
Don't Think Twice,1.0,,2017,2016
Donnie Darko: Director's Cut,1.0,,2016,2001
Dope Thief S1,3.8,Apple tv ,2025,2025
Doubt,4.0,,2009,2008
Douglas is Cancelled,3.5,Brit,2025,2024
Down by Law,3.0,,2005,1986
Down Cemetery Road S1,3.0,AppleTV,2025,2025
Downfall,2.0,,2005,2005
Downsizing,3.0,,2018,2017
Dr. Brain,1.0,,,
Dream House,3.0,,2012,2011
Dreamgirls,3.0,,2013,2006
Drive,3.0,,2017,2011
Drive My Car,3.0,,2022,2022
Driving Lessons,2.0,,2007,2006
Driving Miss Daisy,4.0,,2004,1989
Dunkirk,3.0,,2018,2017
Duplicity,3.0,,2009,2009
Eagle Eye,3.0,,2009,2008
Eagle vs. Shark,1.0,,2008,2007
East Side Sushi,3.0,,2016,2015
Eastern Promises,3.0,,2008,2007
Easy Virtue,2.0,,2011,2008
Eddie Izzard: Dress to Kill,4.0,,2009,1999
Eddington,1.0,HBO,2025,
Edge of Tomorrow,4.0,,2015,2014
Edward Scissorhands,4.0,,2004,1990
Elegy,1.0,,2009,2008
Elephant Song,3.0,Prime,2021,2014
Elite Squad: The Enemy Within,3.0,,2016,2010
Elizabeth,1.0,,2013,1998
Elle,1.0,,2017,2016
Elling,1.0,,2016,2001
Elsbeth,1.0,,2024,
Elysium,3.0,,2014,2013
Embrace of the Serpent,1.0,,2016,2016
Emilia Perez,2.8,Netflix,2024,2023
Emily the Criminal,1.0,Netflix,2022,2022
Empire Falls,1.0,HBO,2025,2005
Empire of Light,4.0,HBO,2022,
Enchanted,1.0,,2008,2007
End of Watch,3.0,,2017,2012
Enemy at the Gates,3.0,,2006,2001
Enemy Mine,4.0,,2004,1985
Enemy of the State,4.0,,2004,1998
Enlightened,1.0,Max,,
Enough Said,3.0,,2014,2013
"Equalizer S1, 2 & 3",3.0,Netflix,2025,
Equiity,3.0,,2017,2016
Erin Brockovich,4.0,,2004,2000
Ernest & Celestine,1.0,,2015,2012
Eternal Sunshine of the Spotless Mind,4.0,,2004,2004
Europa Report,3.0,,2017,2013
Everlasting Moments,3.0,,2010,2008
Every Thing Will Be Fine,2.0,,2016,2015
Everyday,1.0,,2016,2012
Everything Is Illuminated,4.0,,2006,2005
Everything is Illuminated,3.0,Prime,2025,2005
Everything Must Go,2.0,,2011,2010
Exam,3.0,,2016,2009
Exit Plan,2.0,hulu,2022,2019
Exit Through the Gift Shop,3.0,,2011,2010
Exporting Raymond,3.0,,2011,2010
Exteterritorial,2.8,Netflix,2025,2025
Extremely Loud and Incredibly Close,3.0,,2012,2011
F1 The Movie,3.0,,2025,
Faces Places,1.0,,2018,2017
Facing Nolan,3.0,Netflix,2022,2022
Faith Like Potatoes,2.0,,2010,2006
Falling,3.0,,2024,2021
Fallout season 1,3.0,Prime,2024,2024
Fanny and Alexander,1.0,,2007,1982
Far from Heaven,1.0,,2008,2002
Far from Men,4.0,,2016,2015
Far North,1.0,,2009,2007
Far Out Isn't Far Enough: The Tomi Ungerer Story,3.0,,2015,2012
Fargo,4.0,,,2014
Fargo,3.8,AppleTV,2025,
Fay Grim,1.0,HBO,2022,2006
Fear of Rain,1.0,hulu,2022,2021
Fences,4.0,,2017,2016
Fight Club,4.0,,2004,1999
Film Stars Don't Die in Liverpool,2.0,,2018,2017
Filth,1.0,hulu,2022,2013
Finch,3.0,Apple,2021,2021
Finding Nederland,3.0,,2005,2004
Finding Vivian Maier,3.0,,2015,2013
Fingernails,2.0,,2023,
Fireflies in the Garden,3.0,,2012,2008
Fireproof,3.0,,2010,2008
Firewall,3.0,,2007,2006
First Reformed,3.0,,2018,2018
First Snow,3.0,Prime,2022,2020
Fitzcarraldo,1.0,,2005,1982
Five Days,1.0,,2009,
Five Days (Update),3.5,,2025,
Five Minutes off Heaven,4.0,,2010,2009
Flags of Our Fathers,3.0,,2007,2006
Flight,4.0,,2013,2012
Flightplan,3.0,,2006,2005
Flora and Son,3.2,Apple tv ,2025,
Flow,4.0,Hulu,2025,
Flow: For Love of Water,3.0,,2011,2008
Flowers S1,2.0,Prime,2025,2016
Fly Me To the Moon,2.0,Apple tv,2024,
Fo xcatcher,4.0,,2015,2014
Focus,3.0,Netflix,2024,2015
"Food, Inc.",3.0,,2010,2008
Footnote,1.0,,2012,2011
For the People S1 &2,3.0,Hulu,2025,
For Your Consideration,1.0,,2009,2006
Force Majeure,4.0,,2015,2014
Forrest Gump,4.0,,2004,1994
Forsaken,2.0,,2023,
Four Brothers,1.0,,2006,2005
Foxcatcher,4.0,,,2014
Fracture,4.0,,,2007
Fractured,3.0,,2025,
Frantz,3.0,,2019,2017
Freak onomics,3.0,,2011,2010
Free Men,2.0,,2012,2011
Freedom Writers,4.0,,2018,2007
Fried Green Tomatoes,4.0,,2004,1991
From Mao to Mozart: Isaac Stern in China,4.0,,2008,1981
Frost Nix on: The Original Watergate Interviews,1.0,,2009,1977
Frozen River,4.0,,2009,2008
Fruitvale Station,3.0,,2014,2013
Full Circle,3.0,,2023,
Full Time,3.0,,2024,
Fun with Dick & Jane,3.0,,2007,2005
Fun with Dick and Jane,1.0,,2006,1977
Fur,1.0,,2007,2006
Game 6,3.0,,2006,2005
Game Night,4.0,,2018,2018
Gandhi,4.0,,2004,1982
Genius,3.0,,2016,2016
Georgetown,4.0,,2021,2019
Georgia O'K eeffe,3.0,,2011,2009
Get Low,3.0,,2011,2009
Get Out,3.0,,2018,2017
Ghost in the Shell,3.0,,2017,2017
Gideon's Daughter,3.0,,2018,2005
Gladiator,4.0,,2004,2000
Glen Campbell: I'll Be Me,1.0,,2016,2014
Goal! The Dream Begins,4.0,,2007,2005
God Grew Tired of Us,3.0,,2013,2006
God's Country,3.0,,2023,
Gold,3.0,,2017,2016
Golden Door,3.0,,2008,2007
Goliath,4.0,,2021,2016
Gomorrah,2.0,,2010,2008
Gone Baby Gone,3.0,,2008,2007
Gone with the Wind,3.0,,2013,1939
Gonzo: The Life and Work of Dr . Hunter S. Thompson,3.0,,2009,2007
Good Behavior S1 & S2,3.2,Max,2025,2016
"Good Morning, Vietnam",4.0,,2004,1987
Good night and good luck,3.0,,2019,
Good Omens Amazon series,1.0,,,2019
Good Will Hunting,4.0,,2004,1997
Goodbye Christopher Robin,3.0,,2018,2017
